num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,ack,T,1/T
11,1,60,17,15,4,16,48,59,46,snappy,1,26.57,0.037636432
13,5,33,12,19,16,23,44,28,49,none,1,26.55,0.037664783
14,18,88,9,20,18,5,22,62,90,gzip,1,12.75,0.078431373
9,17,97,15,10,5,3,9,5,39,gzip,1,17.45,0.05730659
14,16,41,17,10,9,21,44,31,78,gzip,1,13.5,0.074074074
18,23,27,9,19,12,22,14,50,47,none,1,30.76,0.032509753
19,1,18,7,7,9,23,40,22,28,lz4,1,26.08,0.038343558
18,21,48,4,11,2,29,42,11,34,lz4,1,24.45,0.040899796
13,14,47,11,18,12,11,35,43,43,snappy,1,30.33,0.032970656
1,7,72,18,12,2,16,1,41,70,snappy,1,17.93,0.055772448
10,17,63,7,7,15,7,8,31,15,gzip,1,12.6,0.079365079
18,5,50,12,19,4,28,47,25,73,gzip,1,14.2,0.070422535
4,23,51,3,2,7,6,41,35,6,none,1,20.05,0.049875312
7,7,75,7,17,4,19,12,14,72,none,1,27.8,0.035971223
2,11,31,7,7,5,18,1,36,23,lz4,1,21.62,0.046253469
10,3,84,14,5,6,22,7,13,82,snappy,1,24.46,0.040883074
7,1,79,10,8,14,13,36,29,38,none,1,29.01,0.034470872
18,13,86,13,9,19,23,25,9,23,snappy,1,24.81,0.040306328
4,18,60,10,1,4,26,1,2,72,gzip,1,15.81,0.063251107
2,17,100,15,4,17,29,14,51,3,snappy,1,21.1,0.047393365
20,22,86,12,10,8,11,42,5,58,snappy,1,14.98,0.066755674
14,2,34,18,16,11,29,22,6,65,gzip,1,16.15,0.061919505
8,23,11,2,16,13,26,24,18,55,gzip,1,12.07,0.082850041
9,2,86,11,12,4,23,34,33,14,lz4,1,28.37,0.035248502
1,15,12,8,12,10,16,44,43,81,none,1,28.21,0.035448423
5,9,18,10,11,17,5,41,58,44,lz4,1,30.06,0.0332668
7,24,81,11,9,17,3,25,60,96,lz4,1,28.83,0.034686091
3,11,60,18,11,11,6,4,4,19,lz4,1,15.18,0.065876153
17,1,47,17,5,4,3,13,57,84,snappy,1,25.6,0.0390625
5,9,54,8,9,15,29,12,37,47,snappy,1,29.31,0.034118048
13,23,40,6,4,15,1,16,40,6,none,1,25.73,0.038865138
15,8,63,6,1,18,17,21,22,63,none,1,15.42,0.064850843
17,5,33,15,8,18,28,33,31,94,snappy,1,28.1,0.035587189
8,6,91,12,18,5,19,10,51,39,lz4,1,27.27,0.036670334
16,18,20,11,7,9,30,37,26,23,none,1,28.73,0.034806822
